16 	 0.0000192 	 0.0000330 	 0.0000110
32 	 0.0000279 	 0.0000330 	 0.0000180
64 	 0.0000480 	 0.0000570 	 0.0000360
128 	 0.0001040 	 0.0001460 	 0.0000630
256 	 0.0002215 	 0.0002790 	 0.0001650
512 	 0.0004427 	 0.0005580 	 0.0003080
1024 	 0.0008417 	 0.0012080 	 0.0006440
2048 	 0.0013886 	 0.0015080 	 0.0012220
4096 	 0.0030565 	 0.0042570 	 0.0025690
8192 	 0.0052875 	 0.0056860 	 0.0047010
16384 	 0.0122628 	 0.0130500 	 0.0109150
